flower,type,href,height,weight,color,country,plantation,count_in_pack,availability,price,price_per_pack
Ирис,Blue Magic ,https://bbflowers.ru/catalog/ekzotika/iris_blue_magic_56sm/,56 см,35 гр,синий,Голландия,-,50,100,21.50,1 075.00
Ирис,Blue Magic,https://bbflowers.ru/catalog/ekzotika/iris_blue_magic_64sm/,64 см,35 гр,синий,Голландия,-,50,750,22.50,1 125.00
Ирис,Lavander Dream,https://bbflowers.ru/catalog/ekzotika/iris_lavander_dream_64sm/,64 см,-,лавандовый-крашенный,Голландия,-,50,100,25.50,1 275.00
Сантини,Ellison Salmon ,https://bbflowers.ru/catalog/hrizantema/santini/santini_ellison_salmon_55sm/,55 см,1100 гр,персиковый,Голландия,-,25,75,32.50,812.50
Сантини,Ellison Pink ,https://bbflowers.ru/catalog/hrizantema/santini/santini_ellison_pink_55sm/,55 см,1100 гр,розовый,Голландия,-,25,50,32.50,812.50
Гвоздика,St Virgilio одноголовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_odnogolovaya/gvozdika_st_virgilio_odnogolovaya_70sm/,70 см,-,фиолетовый,Голландия,-,20,10,35.50,710.00
Тульбагия,,https://bbflowers.ru/catalog/ekzotika/tulbagiya_50sm/,50 см,-,фиолетовый,Голландия,-,10,90,35.50,355.00
Скабиоза,At F Scoop B Pi,https://bbflowers.ru/catalog/ekzotika/skabioza_at_f_scoop_b_pi_70sm/,70 см,-,Красно-розовый,Голландия,-,10,40,35.50,355.00
Краспедия,Paint Mix,https://bbflowers.ru/catalog/ekzotika/kraspediya_paint_mix_70sm/,70 см,-,микс крашенный,Голландия,-,10,40,35.50,355.00
Гвоздика,St Ulisse одноголовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_odnogolovaya/gvozdika_st_ulisse_odnogolovaya_60sm/,60 см,-,красный,Голландия,-,20,520,35.50,710.00
Хризантема,T Stresa purple кустовая ,https://bbflowers.ru/catalog/hrizantema/hrizantema_kustovaya/hrizantema_t_stresa_purple_kustovaya_70sm/,70 см,90 гр,фиолетовый,Голландия,-,5,5,35.50,177.50
